,name,price,color,feature_dict,link
33,"
Salming Q5 Composite 27","
44.85 € 


Recommended retail price:  59.82 €


","
White / navy blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Tritec', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest5', 'Indicates the hardness of the blade', 'yes', '280g', 'straight']}",https://www.efloorball.net/p/35150/salming-q5-composite-27-floorball-stick?ts=p_1_3_34
34,"
Salming Flow Powerfly","
75.78 € 


Recommended retail price:  99.71 €


","
white / orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2021/2022', 'The lower number, the harder shaft', 'X3M Grip PRO', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Flow', 'Indicates the hardness of the blade', 'yes', '239g', 'straight', '60 % carbon / 40 % glass fiber']}",https://www.efloorball.net/p/37345/salming-flow-powerfly-floorball-stick?ts=p_1_3_35
35,"
OxDog SENSE HES 30 TB ROUND MB","
79.68 €","
black / turquoise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'OptiLight', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38644/oxdog-sense-hes-30-tb-round-mb-floorball-stick?ts=p_1_3_36
36,"
FLOORBEE Falcon 26 Carbon Composite Black/Blue","
43.49 €","
Black / Blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Tyre sticky', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '229g', 'straight', '40 % carbon / 60 % glass fiber']}",https://www.efloorball.net/p/40268/floorbee-falcon-26-carbon-composite-black-blue-floorball-stick?ts=p_1_3_37
37,"
Salming Mini","
19.91 €","
black / menthol","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Cushion grip', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Quest2 Mid', 'Indicates the hardness of the blade', 'No', '175g', 'straight']}",https://www.efloorball.net/p/35127/salming-mini-floorball-stick?ts=p_1_3_38
38,"
Unihoc PLAYER Top Light 29 gold/black","
99.71 € 


Recommended retail price:  119.66 €


","
black / gold","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Elite pro', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Player', 'Indicates the hardness of the blade', 'yes', '228g', 'straight', '80 % carbon / 20 % glass fibre']}",https://www.efloorball.net/p/39391/unihoc-player-top-light-29-gold-black-floorball-stick?ts=p_1_3_39
39,"
Unihoc ICONIC SUPERSKIN PRO 26 white/blue","
91.37 € 


Recommended retail price:  159.57 €


","
white / blue","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'Superskin', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'ICONIC', 'Indicates the hardness of the blade', 'yes', '210g', 'straight', '95 % carbon / 5 % glass fibre']}",https://www.efloorball.net/p/35181/unihoc-iconic-superskin-pro-26-white-blue-floorball-stick?ts=p_1_3_40
40,"
Salming Raptor XtremeLite","
115.32 € 


Recommended retail price:  159.57 €


","
Black","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:', 'Carbon content:'], 'Key': ['2020/2021', 'The lower number, the harder shaft', 'WetTac', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Raptor', 'Indicates the hardness of the blade', 'yes', '192g', 'straight', '100 % carbon']}",https://www.efloorball.net/p/35078/salming-raptor-xtremelite-floorball-stick?ts=p_1_3_41
41,"
Unihoc EPIC YOUNGSTER Composite 36 white","
41.90 €","
white / neon orange","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Elite', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Epic', 'Indicates the hardness of the blade', 'yes', '210g', 'straight']}",https://www.efloorball.net/p/39325/unihoc-epic-youngster-composite-36-white-floorball-stick?ts=p_1_3_42
42,"
Salming Hawk Composite 27 SMU","
39.51 € 


Recommended retail price:  79.41 €


","
Black / White","{'Name': ['Season:', 'Flex: ', 'Sticks material: ', 'Handling shape: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2019/2020', 'The lower number, the harder shaft', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'yes', '269g', 'straight']}",https://www.efloorball.net/p/33988/salming-hawk-27-smu-floorball-stick?ts=p_1_3_43
43,"
OxDog SENSE HES 27 TB ROUND MBC","
118.71 €","
black / turquoise","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'shaft type:', 'Carbon content:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Touch', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'Optilight Carbon', 'Indicates the hardness of the blade', 'yes', 'straight', '100 % carbon']}",https://www.efloorball.net/p/38641/oxdog-sense-hes-27-tb-round-mbc-floorball-stick?ts=p_1_3_44
44,"
FLOORBEE Albatross mini JET","
19.56 €","
purple / yellow","{'Name': ['Season:', 'Flex: ', 'Grip:', 'Sticks material: ', 'Handling shape: ', 'Blade name:', 'Blade Hardness: ', 'IFF Certification:', 'Weight:', 'shaft type:'], 'Key': ['2022/2023', 'The lower number, the harder shaft', 'Protector', 'Indicates the material used for producing the shaft', 'Indicates the shape when holding the stick', 'JET', 'Indicates the hardness of the blade', 'yes', '176g', 'straight']}",https://www.efloorball.net/p/40265/floorbee-albatross-mini-jet-floorball-stick?ts=p_1_3_45
